id,phrases
12,"1.8 Seguiremos apoyando y simplificaremos los trámites al sector de la venta ambulante, muy afectado por la pandemia. Aprobaremos una Ley marco de venta ambulante o no sedentaria que establezca criterios claros y elimine burocracia para el desarrollo de esta actividad en todo el territorio madrileño."
13,"1.9 Garantizaremos el uso eficiente y un reparto objetivo e independiente de los fondos europeos en la Comunidad de Madrid a través de la colaboración de la Administración autonómica, el sector privado y la sociedad civil. Haremos lo que el Gobierno de España se ha negado a hacer. Apostaremos por maximizar la rentabilidad social y económica de los proyectos a través de la evaluación ex ante de los mismos, el seguimiento en la implementación y la evaluación de impacto posterior con una clara estrategia de colaboración con el sector privado."
14,"1.10 Exigiremos al Gobierno de España un calendario de hitos de vacunación para dar certidumbre sobre la vuelta a la normalidad. A medida que avance la inmunización en la población, deberán reevaluar las restricciones a la movilidad, la actividad comercial, así como la obligatoriedad de la mascarilla en espacios abiertos, el aumento de los aforos en interiores y exteriores y el aumento del número de personas no convivientes en reuniones, entre otras, siguiendo criterios objetivos, técnicos y transparentes."
15,1.11 Garantizaremos la transparencia durante todo el proceso de vacunación y sancionaremos a quienes se salten los protocolos en beneficio propio. Exigiremos a todas las formaciones políticas asuman un compromiso ético para pedir la dimisión o destituir automáticamente a cualquier cargo político que incumpla los protocolos de vacunación con el objetivo de obtener una vacuna en beneficio propio o de los suyos.
16,"1.12 Combatiremos las tesis anti-vacunación alejadas del rigor científico y promoveremos la vacunación con campañas específicas. El próximo gobierno regional suscribirá el fomento de la vacunación y combatirá los discursos anti-vacunación que pueden poner en riesgo la salud de los madrileños. Apostaremos, asimismo, por reivindicar el rigor científico frente a las teorías de la conspiración."
17,"2.1 Mejoraremos la eficiencia del Servicio Madrileño de Salud mediante una auditoría externa e independiente. Nos aseguraremos de que cada euro destinado a la salud y el bienestar de los madrileños se traduzca en una mejora de la calidad asistencial. 2.2 Consolidaremos la incorporación de los 10.000 nuevos profesionales sanitarios que han reforzado el servicio madrileño de salud durante la pandemia. Es fundamental mantener a los profesionales que han reforzado el sistema sanitarios durante el último año para asegurar una atención de calidad y reducir la ratio de profesionales por ciudadanos. Pondremos especial atención en el refuerzo de la Atención Primaria. 2.3 Reforzaremos la inversión destinada a la Atención Primaria haciendo una apuesta integral por este tipo de centros. Los centros que prestan este tipo de atención se han convertido en esenciales para la pandemia, así como pieza clave en el sistema madrileño de salud para evitar el colapso hospitalario. Dotaremos de mayor presupuesto y de los recursos necesarios para avanzar paulatinamente a una atención 100% personalizada, siempre en colaboración con el resto de servicios sanitarios, con el objetivo de reducir listas de espera para visitas médicas que no deben aplazarse innecesariamente. 2.4 Profesionalizaremos la gestión hospitalaria de Madrid, evitando casos de enchufismo y amiguismo y apostando por poner al paciente en el centro del SERMAS. Aseguraremos que el SERMAS se gestiona de una forma transparente, con rendición de cuentas y profesionalizada para evitar fallos en la gestión debido a la politización. 2.5 Efectuaremos una revisión de todas las infraestructuras sanitarias para detectar necesidades asistenciales y de mejoras de cara a la próxima legislatura. Dedicaremos estos dos años a hacer una evaluación de los centros sanitarios, hospitales y otros centros asistenciales de la Comunidad de Madrid con el objetivo de detectar posibilidades de mejora y reparación. 2.6 Estableceremos un sistema de guarderías en los hospitales para mejorar la conciliación de profesionales sanitarios, de administración y de pacientes y visitantes. Apostaremos por la conciliación, también para los profesionales sanitarios de los centros hospitalarios, los pacientes y visitantes. Para ello, crearemos una red de guarderías y servicios de cuidados infantiles. 2.7 Acabaremos con la precariedad y la temporalidad de los profesionales sanitarios del Servicio Madrileño de Salud (SERMAS). Revisaremos el sistema de retribuciones del personal sanitario del SERMAS y acabaremos con el encadenamiento de contratos temporales para cubrir servicios y necesidades estructurales en nuestros centros de atención sanitaria y eliminar el agravio comparativo de nuestros facultativos respecto a los del resto de España. 2.8 Reforzaremos la formación del personal sanitario y administrativo en inteligencia emocional, atención al paciente y no discriminación. Mejoraremos la calidad de la atención sanitaria al paciente y a sus acompañantes, asegurando asimismo formación para detectar posibles casos de violencia machista, violencia contra menores u otro tipo de actuaciones que pudieran suponer un delito. 2.9 Reforzaremos la figura del profesional sanitario para proteger su labor y su autoridad. La Comunidad de Madrid sigue siendo una de las regiones españolas que registra más agresiones a profesionales sanitarios. Por ello, mejoraremos el marco normativo que ampara a estos profesionales para que reconozca mejor su autoridad y les proteja mejor de quienes ejerzan la violencia, el acoso o vejaciones contra ellos. 2.10 Desarrollaremos protocolos de mejora en el diagnóstico rápido y la detección temprana, con especial atención a las enfermedades degenerativas. La prevención y la detección temprana pueden suponer importantes mejoras en el bienestar de todos ellos, por lo que reforzaremos los mecanismos de diagnóstico para que estas patologías no supongan un reto adicional para familias y pacientes. 2.11 Impulsaremos la educación en salud para informar sobre el peligro de las pseudoterapias y para acabar con los prejuicios y la discriminación contra pacientes de determinadas enfermedades. Apostaremos por la información veraz y accesible con el objetivo de erradicar la discriminación que sufren pacientes de enfermedades como el VIH, la Hepatitis C y otras patologías. 2.12 Ampliaremos progresivamente la cobertura gratuita del dentista a toda la población. Potenciaremos la salud bucodental partiendo del Programa de Atención Dental Infanto/juvenil a niños de 6 a 16 años existente en Madrid para cubrir cada vez más grupos de población. Valoraremos la inclusión de prestaciones como ortodoncias o dentaduras."
18,2.1 Mejoraremos la eficiencia del Servicio Madrileño de Salud mediante una auditoría externa e independiente. Nos aseguraremos de que cada euro destinado a la salud y el bienestar de los madrileños se traduzca en una mejora de la calidad asistencial.
19,2.2 Consolidaremos la incorporación de los 10.000 nuevos profesionales sanitarios que han reforzado el servicio madrileño de salud durante la pandemia. Es fundamental mantener a los profesionales que han reforzado el sistema sanitarios durante el último año para asegurar una atención de calidad y reducir la ratio de profesionales por ciudadanos. Pondremos especial atención en el refuerzo de la Atención Primaria.
20,"2.3 Reforzaremos la inversión destinada a la Atención Primaria haciendo una apuesta integral por este tipo de centros. Los centros que prestan este tipo de atención se han convertido en esenciales para la pandemia, así como pieza clave en el sistema madrileño de salud para evitar el colapso hospitalario. Dotaremos de mayor presupuesto y de los recursos necesarios para avanzar paulatinamente a una atención 100% personalizada, siempre en colaboración con el resto de servicios sanitarios, con el objetivo de reducir listas de espera para visitas médicas que no deben aplazarse innecesariamente."
21,"2.4 Profesionalizaremos la gestión hospitalaria de Madrid, evitando casos de enchufismo y amiguismo y apostando por poner al paciente en el centro del SERMAS. Aseguraremos que el SERMAS se gestiona de una forma transparente, con rendición de cuentas y profesionalizada para evitar fallos en la gestión debido a la politización."
22,"2.5 Efectuaremos una revisión de todas las infraestructuras sanitarias para detectar necesidades asistenciales y de mejoras de cara a la próxima legislatura. Dedicaremos estos dos años a hacer una evaluación de los centros sanitarios, hospitales y otros centros asistenciales de la Comunidad de Madrid con el objetivo de detectar posibilidades de mejora y reparación."
23,"2.6 Estableceremos un sistema de guarderías en los hospitales para mejorar la conciliación de profesionales sanitarios, de administración y de pacientes y visitantes. Apostaremos por la conciliación, también para los profesionales sanitarios de los centros hospitalarios, los pacientes y visitantes. Para ello, crearemos una red de guarderías y servicios de cuidados infantiles."
24,2.7 Acabaremos con la precariedad y la temporalidad de los profesionales sanitarios del Servicio Madrileño de Salud (SERMAS). Revisaremos el sistema de retribuciones del personal sanitario del SERMAS y acabaremos con el encadenamiento de contratos temporales para cubrir servicios y necesidades estructurales en nuestros centros de atención sanitaria y eliminar el agravio comparativo de nuestros facultativos respecto a los del resto de España.
25,"2.8 Reforzaremos la formación del personal sanitario y administrativo en inteligencia emocional, atención al paciente y no discriminación. Mejoraremos la calidad de la atención sanitaria al paciente y a sus acompañantes, asegurando asimismo formación para detectar posibles casos de violencia machista, violencia contra menores u otro tipo de actuaciones que pudieran suponer un delito."
26,"2.9 Reforzaremos la figura del profesional sanitario para proteger su labor y su autoridad. La Comunidad de Madrid sigue siendo una de las regiones españolas que registra más agresiones a profesionales sanitarios. Por ello, mejoraremos el marco normativo que ampara a estos profesionales para que reconozca mejor su autoridad y les proteja mejor de quienes ejerzan la violencia, el acoso o vejaciones contra ellos."
27,"2.10 Desarrollaremos protocolos de mejora en el diagnóstico rápido y la detección temprana, con especial atención a las enfermedades degenerativas. La prevención y la detección temprana pueden suponer importantes mejoras en el bienestar de todos ellos, por lo que reforzaremos los mecanismos de diagnóstico para que estas patologías no supongan un reto adicional para familias y pacientes."
28,"2.11 Impulsaremos la educación en salud para informar sobre el peligro de las pseudoterapias y para acabar con los prejuicios y la discriminación contra pacientes de determinadas enfermedades. Apostaremos por la información veraz y accesible con el objetivo de erradicar la discriminación que sufren pacientes de enfermedades como el VIH, la Hepatitis C y otras patologías."
29,2.12 Ampliaremos progresivamente la cobertura gratuita del dentista a toda la población. Potenciaremos la salud bucodental partiendo del Programa de Atención Dental Infanto/juvenil a niños de 6 a 16 años existente en Madrid para cubrir cada vez más grupos de población. Valoraremos la inclusión de prestaciones como ortodoncias o dentaduras.
30,"Impuestos bajos y eficiencia del gasto público 3.1 Defendemos nuestro modelo de fiscalidad e impuestos bajos para que los madrileños no paguen ni un euro más en impuestos. Apostaremos por un gasto público más eficiente, con menos duplicidades y menos barreras burocráticas para asegurar la calidad de nuestro sistema de bienestar sin meter la mano en el bolsillo a los ciudadanos. Seremos el escudo de los madrileños frente a los sablazos de Sánchez y Podemos a la clase media. 3.2 Exigiremos la reforma del sistema de financiación autonómica defendiendo un nuevo modelo más justo y transparente. Es fundamental que el sistema de financiación garantice un reparto equitativo de los recursos entre todas las Comunidades Autónomas que permita ofrecer unos servicios de calidad para los madrileños. 3.3 Impulsaremos el establecimiento de un sistema de “recompensas tributarias” para incentivar determinados comportamientos con el fin de acabar con la economía sumergida. Ciertas acciones, como la exigencia de factura en servicios prestados en el ámbito doméstico y de pequeñas ejecuciones de obra, serán promovidas con incentivos que redundarán en un ahorro para el destinatario, para que deje de salir más a cuenta defraudar que cumplir. 3.4 Implementaremos incentivos fiscales para acabar con la precariedad de las empleadas del hogar. Regularemos un incentivo fiscal para los empleadores a la contratación reglada de empleados de hogar con el fin de aflorar economía sumergida en el ámbito del servicio doméstico y mitigar la precarización de este colectivo."
31,"3.1 Defendemos nuestro modelo de fiscalidad e impuestos bajos para que los madrileños no paguen ni un euro más en impuestos. Apostaremos por un gasto público más eficiente, con menos duplicidades y menos barreras burocráticas para asegurar la calidad de nuestro sistema de bienestar sin meter la mano en el bolsillo a los ciudadanos. Seremos el escudo de los madrileños frente a los sablazos de Sánchez y Podemos a la clase media."
32,3.2 Exigiremos la reforma del sistema de financiación autonómica defendiendo un nuevo modelo más justo y transparente. Es fundamental que el sistema de financiación garantice un reparto equitativo de los recursos entre todas las Comunidades Autónomas que permita ofrecer unos servicios de calidad para los madrileños.
33,"3.3 Impulsaremos el establecimiento de un sistema de “recompensas tributarias” para incentivar determinados comportamientos con el fin de acabar con la economía sumergida. Ciertas acciones, como la exigencia de factura en servicios prestados en el ámbito doméstico y de pequeñas ejecuciones de obra, serán promovidas con incentivos que redundarán en un ahorro para el destinatario, para que deje de salir más a cuenta defraudar que cumplir."
34,3.4 Implementaremos incentivos fiscales para acabar con la precariedad de las empleadas del hogar. Regularemos un incentivo fiscal para los empleadores a la contratación reglada de empleados de hogar con el fin de aflorar economía sumergida en el ámbito del servicio doméstico y mitigar la precarización de este colectivo.
35,"Autónomos y empresas 3.5 Impulsaremos la mejora de la fiscalidad de los autónomos. Facilitaremos la deducción por dietas comida asociadas a la actividad profesional y aumentaremos la deducibilidad fiscal de los gastos por suministros en el hogar y el uso del vehículo ligados a la actividad profesional. 3.6 Facilitaremos el relevo generacional de los autónomos en edad de jubilación que quieran garantizar la continuidad de su negocio. Ayudaremos a esos autónomos que llevan años construyendo un proyecto empresarial a asegurar su continuidad a través del asesoramiento en posibles fuentes de financiación, mecanismos de transmisión, etc. 3.7 Reduciremos las cargas administrativas que soportan las empresas y lastran la actividad económica y las barreras regulatorias que frenan el crecimiento. Mediante el Dosier Empresarial Unificado eliminaremos trámites burocráticos innecesarios, evitaremos crear nuevas cargas administrativas y reduciremos el papeleo que soportan las empresas, especialmente las pymes, y eliminaremos las barreras que frenan el crecimiento empresarial. 3.8 Exigiremos la armonización de las 17 normativas autonómicas que dificultan la unidad de mercado. Lideraremos la apuesta por una verdadera unidad de mercado para que las empresas madrileñas puedan trabajar con facilidad en el resto de CC. AA. y que nuevas empresas se instalen en nuestra tierra. 3.9 Exigiremos al Gobierno de España una reforma de la normativa concursal para que las deudas con las Administraciones Públicas sean exonerables en los procesos concursales. Pondremos todos los medios necesarios para que nuestros emprendedores tengan una verdadera “segunda oportunidad” y puedan volverse a levantar. 3.10 Fomentaremos fiscalmente los reciclajes empresariales, en particular, sobre las plusvalías en la venta de participaciones en empresas innovadoras, siempre que el precio de venta se reinvierta en otras startups. Impulsaremos el emprendimiento de empresas jóvenes innovadoras, de forma que cuando sus fundadores vendan sus participaciones puedan emplear el dinero en montar nuevas empresas, ayudando a paliar el déficit de financiación que existe en España para las startups y situando a Madrid como una de las principales capitales para iniciar un negocio. 3.11 Impulsaremos un Programa Integral de Formación en habilidades directivas para empresarios. Apostaremos decididamente por nuestros autónomos y emprendedores y les ayudaremos a adquirir todos los conocimientos necesarios para asegurar el éxito de sus negocios. 3.12 Llevaremos a cabo una Estrategia Regional de Atracción de Inversión Extranjera. Impulsaremos la presencia de la Comunidad de Madrid en foros inversores, su participación en rondas de inversión internacional y promoveremos acciones para dar a conocer en el exterior el favorecedor clima inversor de la Comunidad de Madrid. 3.13 Garantizaremos que proveedores y contratistas cobren de nuestra Administración siempre dentro del plazo de 30 días que marca la ley. Ninguna empresa ni ningún autónomo tendrán nunca más que cerrar por causa de incumplimientos de la Comunidad de Madrid en los pagos. 3.14 Ofreceremos a las pequeñas y medianas empresas servicios de formación, información y acompañamiento para que puedan acceder a proyectos y fondos europeos. Debemos garantizar que todas las empresas, independientemente de su tamaño, puedan acceder a la información necesaria para optar a contratos y ayudas públicas financiadas con fondos europeos. 3.15 Promoveremos una estrategia concertada con el resto de las Administraciones Públicas para potenciar la promoción de las empresas madrileñas en el exterior. Apostaremos por la consolidación internacional de nuestras empresas y sus productos, a través de las Embajadas y las Oficinas Comerciales de España en el exterior."
36,3.5 Impulsaremos la mejora de la fiscalidad de los autónomos. Facilitaremos la deducción por dietas comida asociadas a la actividad profesional y aumentaremos la deducibilidad fiscal de los gastos por suministros en el hogar y el uso del vehículo ligados a la actividad profesional.
37,"3.6 Facilitaremos el relevo generacional de los autónomos en edad de jubilación que quieran garantizar la continuidad de su negocio. Ayudaremos a esos autónomos que llevan años construyendo un proyecto empresarial a asegurar su continuidad a través del asesoramiento en posibles fuentes de financiación, mecanismos de transmisión, etc."
38,"3.7 Reduciremos las cargas administrativas que soportan las empresas y lastran la actividad económica y las barreras regulatorias que frenan el crecimiento. Mediante el Dosier Empresarial Unificado eliminaremos trámites burocráticos innecesarios, evitaremos crear nuevas cargas administrativas y reduciremos el papeleo que soportan las empresas, especialmente las pymes, y eliminaremos las barreras que frenan el crecimiento empresarial."
39,3.8 Exigiremos la armonización de las 17 normativas autonómicas que dificultan la unidad de mercado. Lideraremos la apuesta por una verdadera unidad de mercado para que las empresas madrileñas puedan trabajar con facilidad en el resto de CC. AA. y que nuevas empresas se instalen en nuestra tierra.
40,3.9 Exigiremos al Gobierno de España una reforma de la normativa concursal para que las deudas con las Administraciones Públicas sean exonerables en los procesos concursales. Pondremos todos los medios necesarios para que nuestros emprendedores tengan una verdadera “segunda oportunidad” y puedan volverse a levantar.
41,"3.10 Fomentaremos fiscalmente los reciclajes empresariales, en particular, sobre las plusvalías en la venta de participaciones en empresas innovadoras, siempre que el precio de venta se reinvierta en otras startups. Impulsaremos el emprendimiento de empresas jóvenes innovadoras, de forma que cuando sus fundadores vendan sus participaciones puedan emplear el dinero en montar nuevas empresas, ayudando a paliar el déficit de financiación que existe en España para las startups y situando a Madrid como una de las principales capitales para iniciar un negocio."
42,3.11 Impulsaremos un Programa Integral de Formación en habilidades directivas para empresarios. Apostaremos decididamente por nuestros autónomos y emprendedores y les ayudaremos a adquirir todos los conocimientos necesarios para asegurar el éxito de sus negocios.
43,"3.12 Llevaremos a cabo una Estrategia Regional de Atracción de Inversión Extranjera. Impulsaremos la presencia de la Comunidad de Madrid en foros inversores, su participación en rondas de inversión internacional y promoveremos acciones para dar a conocer en el exterior el favorecedor clima inversor de la Comunidad de Madrid."
44,3.13 Garantizaremos que proveedores y contratistas cobren de nuestra Administración siempre dentro del plazo de 30 días que marca la ley. Ninguna empresa ni ningún autónomo tendrán nunca más que cerrar por causa de incumplimientos de la Comunidad de Madrid en los pagos.
45,"3.14 Ofreceremos a las pequeñas y medianas empresas servicios de formación, información y acompañamiento para que puedan acceder a proyectos y fondos europeos. Debemos garantizar que todas las empresas, independientemente de su tamaño, puedan acceder a la información necesaria para optar a contratos y ayudas públicas financiadas con fondos europeos."
46,"3.15 Promoveremos una estrategia concertada con el resto de las Administraciones Públicas para potenciar la promoción de las empresas madrileñas en el exterior. Apostaremos por la consolidación internacional de nuestras empresas y sus productos, a través de las Embajadas y las Oficinas Comerciales de España en el exterior."
47,"Industria, turismo y agricultura 3.16 Pondremos en marcha un nuevo Plan Estratégico de Turismo 2030 que aproveche la recuperación para apuntalar las fortalezas del sector. Impulsaremos a su vez una actualización del Plan de Marketing Turístico de la Comunidad de Madrid con el fin de recuperar la imagen internacional de nuestra comunidad como referente turístico en un contexto de recuperación de la pandemia de Covid-19. 3.17 Insistiremos en la estrategia emprendida de reindustrializar la región apostando por la incorporación de empleo cualificado y el desarrollo de alta tecnología. Apostaremos por una estrategia global centrada en la formación y atracción de talento, la generación de valor construyendo industria en torno a la ciencia, la mejora de absorción de innovación especialmente en la pyme, la internacionalización de nuestro tejido productivo y la sostenibilidad de nuestra industria con acciones, fundamentales para conseguir los objetivos de transición energética. 3.18 Impulsaremos el desarrollo de Áreas de Promoción Económica Urbana en los ejes comerciales y zonas prioritarias de actuación para la regeneración de nuestras ciudades. Apostaremos por el comercio de proximidad a través de acciones de impulso de los negocios locales, la digitalización y el apoyo a través de campañas de comunicación y promoción del comercio y los productos regionales. 3.19 Reforzaremos la “Escuela de Innovación del Comercio” como modelo de colaboración público-privada entre la Administración y las Asociaciones de Comerciantes y Empresarios, con objeto de facilitar el acceso a la formación y la utilización de nuevas tecnologías. 3.20 Consolidaremos Madrid como el nudo logístico de referencia de la Península. Impulsaremos el transporte multimodal de mercancías para optar a un mayor alcance de la distribución de la forma más eficiente, garantizando un uso sostenible de las infraestructuras."
48,3.16 Pondremos en marcha un nuevo Plan Estratégico de Turismo 2030 que aproveche la recuperación para apuntalar las fortalezas del sector. Impulsaremos a su vez una actualización del Plan de Marketing Turístico de la Comunidad de Madrid con el fin de recuperar la imagen internacional de nuestra comunidad como referente turístico en un contexto de recuperación de la pandemia de Covid-19.
49,"3.17 Insistiremos en la estrategia emprendida de reindustrializar la región apostando por la incorporación de empleo cualificado y el desarrollo de alta tecnología. Apostaremos por una estrategia global centrada en la formación y atracción de talento, la generación de valor construyendo industria en torno a la ciencia, la mejora de absorción de innovación especialmente en la pyme, la internacionalización de nuestro tejido productivo y la sostenibilidad de nuestra industria con acciones, fundamentales para conseguir los objetivos de transición energética."
50,"3.18 Impulsaremos el desarrollo de Áreas de Promoción Económica Urbana en los ejes comerciales y zonas prioritarias de actuación para la regeneración de nuestras ciudades. Apostaremos por el comercio de proximidad a través de acciones de impulso de los negocios locales, la digitalización y el apoyo a través de campañas de comunicación y promoción del comercio y los productos regionales."
51,"3.19 Reforzaremos la “Escuela de Innovación del Comercio” como modelo de colaboración público-privada entre la Administración y las Asociaciones de Comerciantes y Empresarios, con objeto de facilitar el acceso a la formación y la utilización de nuevas tecnologías."
52,"3.20 Consolidaremos Madrid como el nudo logístico de referencia de la Península. Impulsaremos el transporte multimodal de mercancías para optar a un mayor alcance de la distribución de la forma más eficiente, garantizando un uso sostenible de las infraestructuras."
53,"Formación y empleo 3.21 Impulsaremos el seguimiento y análisis de las tendencias del mercado laboral, formularemos políticas públicas innovadoras orientadas al empleo y mejoraremos la gestión integral de las políticas activas de empleo. Apostaremos por la evaluación y el impacto de las políticas públicas en materia laboral. 3.22 Pondremos en marcha un programa de acompañamiento continuo para demandantes de empleo. Reforzaremos la plantilla de orientadores profesionales para mejorar la ratio demandante de empleo/orientador, permitiendo así un tratamiento individualizado. Potenciaremos la colaboración público-privada para aumentar la probabilidad de encontrar un empleo y nos valdremos de las nuevas tecnologías para identificar oportunidades y mejorar el emparejamiento. 3.23 Impulsaremos el sistema de cheques-formación para que los ciudadanos desempleados puedan elegir sin intermediarios el centro en el que prefieran formarse. Crearemos un portal unificado que reúna toda la oferta disponible de cursos de formación homologados por la Comunidad de Madrid. 3.24 Pondremos en marcha los itinerarios de inserción laboral asociados al Ingreso Mínimo Vital que el Gobierno aún no ha elaborado. Después de un año de la aprobación del IMV, debemos asegurar que esta prestación no actúa como una trampa de pobreza. La Comunidad de Madrid impulsará los itinerarios de empleabilidad para asegurar que los beneficiarios de esta renta mejoran sus habilidades y competencias para conseguir un empleo."
